event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:lc,migration-stage,migration-stage-standard,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1150025988,true,2006-03-23 20:52:00.000,9.642,51.621,,"B","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025989,true,2006-04-01 12:32:00.000,14.338,53.054,,"2","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025990,true,2006-04-01 16:35:00.000,14.372,53.02,,"B","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025991,true,2006-04-04 02:57:00.000,15.714,53.51,,"0","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025992,true,2006-04-04 04:57:00.000,15.886,53.942,,"A","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025993,true,2006-04-07 00:47:00.000,16.583,54.155,,"2","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025994,true,2006-04-07 04:21:00.000,16.6,54.127,,"B","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025995,true,2006-04-10 12:05:00.000,19.741,54.455,,"0","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025996,true,2006-04-10 12:24:00.000,19.746,54.449,,"2","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025997,true,2006-04-10 12:25:00.000,19.74,54.444,,"2","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025998,true,2006-04-10 16:21:00.000,19.76,54.438,,"B","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150025999,true,2006-04-13 19:27:00.000,29.041,50.486,,"B","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026000,true,2006-04-16 00:57:00.000,29.391,50.544,,"A","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026001,true,2006-04-19 00:21:00.000,29.425,50.543,,"A","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026002,true,2006-04-22 11:23:00.000,30.068,51.018,,"A","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026003,true,2006-04-22 14:52:00.000,30.016,51.005,,"1","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026004,true,2006-04-28 00:17:00.000,30.906,51.07,,"1","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026005,true,2006-04-28 02:12:00.000,30.899,51.072,,"A","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026006,true,2006-05-01 11:16:00.000,32.59,52.039,,"0","flight","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026007,true,2006-05-04 10:40:00.000,33.282,52.331,,"A","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026008,true,2006-05-04 15:04:00.000,33.322,52.382,,"B","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
1150026009,true,2006-05-10 01:51:00.000,33.346,52.354,,"0","stopover","spring-migration","argos-doppler-shift","Anser albifrons","62350","62350","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)"
